Numbers (mode:shuffle),,,
TOP,BOTTOM,IMAGE,SPECIAL
Advance to Go,Collect $200.,https://monopoly.fandom.com/wiki/Chance,false
1,One,https://static.wikia.nocookie.net/dictionary/images/9/9a/Number_One.png/revision/latest?cb=20211208181636,false
2,Two,https://static.wikia.nocookie.net/dictionary/images/a/a6/Number_Two.png/revision/latest?cb=20211208181906,false
3,Three,https://static.wikia.nocookie.net/dictionary/images/f/f2/Number_Three.png/revision/latest?cb=20211208182132,false
4,Four,https://static.wikia.nocookie.net/dictionary/images/2/22/Number_Four.png/revision/latest?cb=20211208182316,false
5,Five,https://static.wikia.nocookie.net/dictionary/images/9/9a/Number_Five.png/revision/latest?cb=20211208182418,false
6,Six,https://static.wikia.nocookie.net/dictionary/images/e/ee/Number_Six.png/revision/latest?cb=20211208182630,false
7,Seven,https://static.wikia.nocookie.net/dictionary/images/f/fe/Number_Seven.png/revision/latest?cb=20211208182755,false
8,Eight,https://static.wikia.nocookie.net/dictionary/images/2/24/Number_Eight.png/revision/latest?cb=20211208183020,false
9,Nine,https://static.wikia.nocookie.net/dictionary/images/6/62/Number_Nine.png/revision/latest?cb=20211208183150,false
10,Ten,https://www.computerhope.com/jargon/num/ten.png,false
11,Eleven,https,false
12,Twelve,https,false
13,Thirteen,https,false
14,Fourteen,https,false
15,Fifteen,https,false
16,Sixteen,https,false
17,Seventeen,https,false
18,Eighteen,https,false
19,Nineteen,https,false
20,Twenty,https,false
21,Twenty-one,https,false
22,Twenty-two,https,false
23,Twenty-three,https,false
24,Twenty-four,https,false
25,Twenty-five,https,false
26,Twenty-six,https,false
27,Twenty-seven,https,false
28,Twenty-eight,https,false
29,Twenty-nine,https,false
30,Thirty,https,false
31,Thirty-one,https,false
32,Thirty-two,https,false
33,Thirty-three,https,false
34,Thirty-four,https,false
35,Thirty-five,https,false
36,Thirty-six,https,false
37,Thirty-seven,https,false
38,Thirty-eight,https,false
39,Thirty-nine,https,false
40,Forty,https,false
41,Forty-one,https,false
42,Forty-two,https,false
43,Forty-three,https,false
44,Forty-four,https,false
45,Forty-five,https,false
46,Forty-six,https,false
47,Forty-seven,https,false
48,Forty-eight,https,false
49,Forty-nine,https,false
50,Fifty,https,false
